zonei,zone,msoa11nm,Easting,Northing
1,E02005946,Oxford 007,455653.489,207122.283
2,E02005947,Oxford 008,451406.609,206507.453
3,E02005944,Oxford 005,455251.623,207837.985
4,E02005945,Oxford 006,453911.584,207174.79
5,E02005942,Oxford 003,450697.174,208134.954
6,E02005943,Oxford 004,452748.766,207877.26
7,E02005940,Oxford 001,449997.348,210096.781
8,E02005941,Oxford 002,450744.558,209536.984
9,E02005948,Oxford 009,450367.031,206482.306
10,E02005949,Oxford 010,454758.097,206105.975
11,E02005956,Oxford 017,455431.657,203023.341
12,E02005957,Oxford 018,455621.737,202289.778
13,E02005954,Oxford 015,453903.181,203945.738
14,E02005955,Oxford 016,453721.943,203088.594
15,E02005952,Oxford 013,454668.806,204808.356
16,E02005953,Oxford 014,452908.101,204847.536
17,E02005950,Oxford 011,452872.178,205640.471
18,E02005951,Oxford 012,451485.382,204932.992
